2. razred OŠ Čelarevo,,,
Predmet,Naziv udžbenika,MPC,Izdavač
Srpski jezik 650-02-00379/2022-07 od 6.2.2023.,Čitanka 2 - Dimitrijević 2022,"1,090.00",Vulkan
Srpski jezik 650-02-00379/2022-07 od 6.2.2023.,Gramatika 2 - Ristić 2022,890.00,Vulkan
Srpski jezik 650-02-00379/2022-07 od 6.2.2023.,Latinica 2 - Cmiljanović 2022,830.00,Vulkan
Srpski jezik 650-02-00379/2022-07 od 6.2.2023.,Radna sveska 2 - Martinović 2022,870.00,Vulkan
Matematika 650-02-00165/2019-07 od 21.5.2019.,Udžbenik 1. i 2. deo - Malinović,990.00,Vulkan
Matematika 650-02-00165/2019-07 od 21.5.2019.,Radna sveska 1. i 2. deo Malinović,990.00,Vulkan
Svet oko nas 650-02-00325/2023-07 od 29.1.2024.,Udžbenik 2 - Ljubinković 2023,"1,040.00",Vulkan
Svet oko nas 650-02-00325/2023-07 od 29.1.2024.,Radna sveska 2 - Ljubinković 2023,790.00,Vulkan
Muzička kultura 650-02-00164/2019-08 od 21.5.20198.,Udžbenik 2 - Obradović,930.00,Vulkan
Digitalni svet 650-02-00161/2021-07 od 16.9.2021.,Udžbenik 2 - Pastor,980.00,Vulkan
Engleski jezik 650-02-00222/2023-07 od 1.12.2023.,The Story Garden 2,"1,790.00",Vulkan
Likovna kultura 650-02-00242/2023-07 od 21.12.2023. i 1058-3/2019 od 5.6.2019.,Udžbenik 2 - Stojanović,940.00,Vulkan
Likovna kultura 650-02-00242/2023-07 od 21.12.2023. i 1058-3/2019 od 5.6.2019.,Likovnica 2 - Mladenović,940.00,Vulkan
